timestamp_sec,url,cpu_percent,load_avg_1m,valkey_rtt_ms,active_ws_connections
1789022421,https://10.1.75.51:5271/health,3.60,1.56,297.76,0
1789022423,https://10.1.75.51:5271/health,4.00,1.44,214.41,0
1789022425,https://10.1.75.51:5271/health,3.40,1.44,371.22,0
1789022431,https://10.1.75.51:5271/health,4.00,1.48,345.07,0
1789022433,https://10.1.75.51:5271/health,4.10,1.48,142.72,0
1789022467,https://10.1.75.51:5271/health,6.50,1.18,68.01,0
1789022469,https://10.1.75.51:5271/health,6.30,1.49,85.92,0
1789022471,https://10.1.75.51:5271/health,5.10,1.49,118.13,0
1789022473,https://10.1.75.51:5271/health,4.40,1.61,130.41,0
1789022475,https://10.1.75.51:5271/health,5.50,1.61,75.31,0
1789022477,https://10.1.75.51:5271/health,6.70,1.61,93.50,0
1789022479,https://10.1.75.51:5271/health,6.50,1.64,79.08,0
1789022481,https://10.1.75.51:5271/health,7.90,1.64,102.75,0
1789022483,https://10.1.75.51:5271/health,6.90,1.64,118.05,0
1789022485,https://10.1.75.51:5271/health,4.80,1.83,125.77,0
1789022492,https://10.1.75.51:5271/health,7.50,1.93,82.76,0
1789022494,https://10.1.75.51:5271/health,4.70,1.93,37.74,0
1789022495,https://10.1.75.51:5271/health,4.90,1.93,41.88,0
1789022497,https://10.1.75.51:5271/health,4.60,1.93,197.36,0
1789022499,https://10.1.75.51:5271/health,5.30,2.18,97.18,0
1789022501,https://10.1.75.51:5271/health,5.80,2.18,84.24,0
1789022503,https://10.1.75.51:5271/health,0.00,2.18,143.32,0
1789022505,https://10.1.75.51:5271/health,4.40,2.16,200.75,0
1789022507,https://10.1.75.51:5271/health,3.10,2.16,130.96,0
1789022509,https://10.1.75.51:5271/health,4.90,2.39,125.67,0
1789022511,https://10.1.75.51:5271/health,5.50,2.39,83.63,0
1789022513,https://10.1.75.51:5271/health,4.00,2.39,146.69,0
1789022515,https://10.1.75.51:5271/health,5.00,2.36,154.69,0
1789022517,https://10.1.75.51:5271/health,7.40,2.36,57.31,0
1789022519,https://10.1.75.51:5271/health,7.40,2.25,182.80,0
1789022521,https://10.1.75.51:5271/health,6.60,2.25,13.67,0
1789022523,https://10.1.75.51:5271/health,6.60,2.25,112.70,0
1789022530,https://10.1.75.51:5271/health,3.10,2.25,48.48,0
1789022534,https://10.1.75.51:5271/health,6.30,2.25,61.40,0
1789022535,https://10.1.75.51:5271/health,4.90,2.25,19.61,0
1789022537,https://10.1.75.51:5271/health,5.60,2.25,11.48,0
1789022539,https://10.1.75.51:5271/health,4.70,2.15,181.41,0
1789022541,https://10.1.75.51:5271/health,5.10,2.15,20.19,0
1789022543,https://10.1.75.51:5271/health,4.50,2.15,21.42,0
1789022545,https://10.1.75.51:5271/health,1.70,1.98,296.65,0
1789022547,https://10.1.75.51:5271/health,6.70,1.98,131.27,0
1789022549,https://10.1.75.51:5271/health,5.70,1.98,152.55,0
1789022551,https://10.1.75.51:5271/health,5.90,1.98,77.80,0
1789022553,https://10.1.75.51:5271/health,5.70,1.98,203.06,0
1789022555,https://10.1.75.51:5271/health,4.50,2.22,52.77,0
1789022557,https://10.1.75.51:5271/health,4.30,2.22,105.79,0
1789022559,https://10.1.75.51:5271/health,3.90,2.44,112.86,0
1789022595,https://10.1.75.51:5270/health,6.50,1.97,0.97,0
1789022595,https://10.1.75.51:5271/health,6.10,1.97,1.31,0
1789022595,https://10.1.75.51:5272/health,6.20,1.97,5.81,0
1789022597,https://10.1.75.51:5270/health,7.30,1.97,3.77,0
1789022597,https://10.1.75.51:5271/health,6.20,1.97,1.86,0
1789022597,https://10.1.75.51:5272/health,6.20,1.97,5.97,0
1789022599,https://10.1.75.51:5270/health,7.60,3.02,2.87,0
1789022599,https://10.1.75.51:5271/health,9.80,3.02,9.60,0
1789022599,https://10.1.75.51:5272/health,10.80,3.02,5.70,0
1789022601,https://10.1.75.51:5270/health,13.60,3.02,20.83,0
1789022601,https://10.1.75.51:5271/health,9.60,3.02,4.85,0
1789022601,https://10.1.75.51:5272/health,9.60,3.02,4.98,0
1789022603,https://10.1.75.51:5270/health,12.80,3.02,1.71,0
1789022603,https://10.1.75.51:5271/health,13.10,3.02,28.39,0
1789022603,https://10.1.75.51:5272/health,13.00,3.02,8.63,0
1789022605,https://10.1.75.51:5270/health,4.90,6.94,1.20,0
1789022605,https://10.1.75.51:5271/health,4.40,6.94,0.85,0
1789022605,https://10.1.75.51:5272/health,7.00,6.94,0.92,0
1789022607,https://10.1.75.51:5270/health,9.20,6.94,2.67,0
1789022607,https://10.1.75.51:5271/health,9.40,6.94,21.17,0
1789022607,https://10.1.75.51:5272/health,10.60,6.94,6.13,0
1789022609,https://10.1.75.51:5270/health,12.30,8.23,5.86,0
1789022609,https://10.1.75.51:5271/health,12.40,8.23,34.10,0
1789022609,https://10.1.75.51:5272/health,12.70,8.23,0.78,0
1789022611,https://10.1.75.51:5270/health,12.30,8.23,1.19,0
1789022611,https://10.1.75.51:5271/health,12.80,8.23,6.48,0
1789022611,https://10.1.75.51:5272/health,12.50,8.23,3.29,0
1789022613,https://10.1.75.51:5270/health,7.80,8.23,1.39,0
1789022613,https://10.1.75.51:5271/health,7.70,8.23,20.59,0
1789022613,https://10.1.75.51:5272/health,7.30,8.23,23.39,0
1789022615,https://10.1.75.51:5270/health,12.40,8.21,11.42,0
1789022615,https://10.1.75.51:5271/health,13.60,8.21,1.24,0
1789022615,https://10.1.75.51:5272/health,14.60,8.21,6.05,0
1789022617,https://10.1.75.51:5270/health,15.10,8.21,26.77,0
1789022617,https://10.1.75.51:5271/health,15.40,8.21,0.90,0
1789022617,https://10.1.75.51:5272/health,15.60,8.21,1.03,0
1789022619,https://10.1.75.51:5270/health,13.10,7.87,1.09,0
1789022619,https://10.1.75.51:5271/health,13.00,7.87,1.99,0
1789022619,https://10.1.75.51:5272/health,12.70,7.87,14.35,0
1789022621,https://10.1.75.51:5270/health,7.40,7.87,42.07,0
1789022621,https://10.1.75.51:5271/health,6.70,7.87,12.75,0
1789022621,https://10.1.75.51:5272/health,6.70,7.87,6.98,0
1789022623,https://10.1.75.51:5270/health,14.00,7.87,38.64,0
1789022623,https://10.1.75.51:5271/health,14.60,7.87,0.86,0
1789022623,https://10.1.75.51:5272/health,14.30,7.87,2.10,0
1789022625,https://10.1.75.51:5270/health,10.30,7.56,1.28,0
1789022625,https://10.1.75.51:5271/health,7.50,7.56,6.39,0
1789022625,https://10.1.75.51:5272/health,14.40,7.56,52.88,0
1789022627,https://10.1.75.51:5270/health,16.30,7.56,0.83,0
1789022627,https://10.1.75.51:5271/health,16.30,7.56,3.92,0
1789022627,https://10.1.75.51:5272/health,16.20,7.56,1.17,0
1789022629,https://10.1.75.51:5270/health,15.00,7.92,5.78,0
1789022629,https://10.1.75.51:5271/health,14.70,7.92,1.81,0
1789022629,https://10.1.75.51:5272/health,14.60,7.92,18.44,0
1789022631,https://10.1.75.51:5270/health,14.10,7.92,32.68,0
1789022631,https://10.1.75.51:5271/health,16.70,7.92,12.00,0
1789022631,https://10.1.75.51:5272/health,16.70,7.92,2.30,0
1789022633,https://10.1.75.51:5270/health,16.70,7.92,37.86,0
1789022633,https://10.1.75.51:5271/health,17.50,7.92,0.92,0
1789022633,https://10.1.75.51:5272/health,17.30,7.92,1.28,0
1789022635,https://10.1.75.51:5270/health,13.20,7.60,13.65,0
1789022635,https://10.1.75.51:5271/health,15.50,7.60,27.00,0
1789022635,https://10.1.75.51:5272/health,17.90,7.60,6.18,0
1789022637,https://10.1.75.51:5270/health,17.00,7.60,1.02,0
1789022637,https://10.1.75.51:5271/health,16.80,7.60,6.20,0
1789022637,https://10.1.75.51:5272/health,16.70,7.60,2.72,0
1789022660,https://10.1.75.51:5270/health,15.00,5.72,10.04,0
1789022660,https://10.1.75.51:5271/health,14.60,5.72,0.91,0
1789022660,https://10.1.75.51:5272/health,14.60,5.72,1.86,0
1789022662,https://10.1.75.51:5270/health,10.80,5.72,93.03,0
1789022662,https://10.1.75.51:5271/health,12.70,5.72,13.23,0
1789022662,https://10.1.75.51:5272/health,13.30,5.72,5.78,0
1789022664,https://10.1.75.51:5270/health,12.30,5.34,342.20,0
1789022664,https://10.1.75.51:5271/health,12.50,5.34,149.01,0
1789022664,https://10.1.75.51:5272/health,35.00,5.34,103.64,0
1789022666,https://10.1.75.51:5270/health,14.60,5.34,101.39,0
1789022666,https://10.1.75.51:5271/health,14.70,5.34,126.44,0
1789022666,https://10.1.75.51:5272/health,15.10,5.34,110.16,0
1789022668,https://10.1.75.51:5270/health,15.60,5.88,24.10,0
1789022668,https://10.1.75.51:5271/health,13.70,5.88,3.41,0
1789022668,https://10.1.75.51:5272/health,13.50,5.88,20.15,0
1789022670,https://10.1.75.51:5270/health,14.90,5.88,97.29,0
1789022670,https://10.1.75.51:5271/health,15.00,5.88,124.36,0
1789022670,https://10.1.75.51:5272/health,14.90,5.88,104.66,0
1789022672,https://10.1.75.51:5270/health,12.60,5.88,52.64,0
1789022672,https://10.1.75.51:5271/health,12.40,5.88,73.34,0
1789022672,https://10.1.75.51:5272/health,11.90,5.88,19.61,0
1789022674,https://10.1.75.51:5270/health,13.10,5.65,12.89,0
1789022674,https://10.1.75.51:5271/health,13.70,5.65,95.65,0
1789022674,https://10.1.75.51:5272/health,13.20,5.65,64.14,0
1789022676,https://10.1.75.51:5270/health,13.50,5.65,72.61,0
1789022676,https://10.1.75.51:5271/health,13.60,5.65,88.07,0
1789022676,https://10.1.75.51:5272/health,12.00,5.65,46.98,0
1789022678,https://10.1.75.51:5270/health,13.50,5.83,6.37,0
1789022678,https://10.1.75.51:5271/health,13.10,5.83,1.50,0
1789022678,https://10.1.75.51:5272/health,13.20,5.83,2.53,0
1789022680,https://10.1.75.51:5270/health,12.70,5.83,32.69,0
1789022680,https://10.1.75.51:5271/health,12.80,5.83,190.10,0
1789022680,https://10.1.75.51:5272/health,8.90,5.83,4.32,0
1789022682,https://10.1.75.51:5270/health,14.30,5.83,57.18,0
1789022682,https://10.1.75.51:5271/health,14.70,5.83,44.77,0
1789022682,https://10.1.75.51:5272/health,15.90,5.83,107.46,0
1789022684,https://10.1.75.51:5270/health,10.80,6.57,52.98,0
1789022684,https://10.1.75.51:5271/health,12.10,6.57,43.06,0
1789022684,https://10.1.75.51:5272/health,12.60,6.57,31.23,0
1789022686,https://10.1.75.51:5270/health,14.70,6.57,69.75,0
1789022686,https://10.1.75.51:5271/health,12.80,6.57,23.78,0
